"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","stdP","stdVPD","fdsi"
"214","SS452120",1990,23.9623600387573,37.043,8.819,3.17648426750994,22.931,-0.944142637975029,-0.399358040677366,-0.191782257929688
"215","SS452120",1991,24.820879825592,40.3118,9.7824,3.21168522739928,25.0471,-0.808616565261695,0.848927656847308,-0.831190776549639
"216","SS452120",1992,28.1762200775146,38.2608,9.3015,3.33847836253803,23.78115,-0.320454432570182,0.102144764365216,-0.198201018375401
"217","SS452120",1993,42.4002205619812,42.7076,6.597,3.7471535641579,24.6523,1.25297269171824,0.616035452611808,0.206328130893412
"218","SS452120",1994,20.0456797771454,38.0279,10.8563,2.99801365807348,24.4421,-1.63126653651981,0.492038640731613,-0.993298914878421
"219","SS452120",1995,43.2460403003693,42.0038,9.2794,3.7669056754379,25.6416,1.32901965401673,1.199622731361,-0.0870200817947976
"220","SS452120",1996,43.2409609107971,41.5862,9.7292,3.76678821525297,25.6577,1.32856742437262,1.20912010848408,-0.0925375940271324
"221","SS452120",1997,39.8348193750381,41.6,9.9642,3.6847413884939,25.7821,1.01268160068469,1.28250356898786,-0.272622094331941
"222","SS452120",1998,41.752520029068,38.6327,7.9172,3.73175980945295,23.27495,1.19370569655581,-0.196462210771589,0.635249344516644
"223","SS452120",1999,23.5356397190094,36.1014,10.5367,3.15851585608596,23.31905,-1.01332223537365,-0.170447656043157,-0.350411096180237
